;Årstid;Eksperiment;Periode;Institutt;Modell;Modell Id;Ensemble;RCM Ver;TAS celsius;PR mm.år;TAS endring;PR endring;Referansemodell
82;ANN;historical;1985-2014;CLMcom-ETH;ICHEC-EC-EARTH;COSMO-crCLIM-v1-1;r3i1p1;v1;0.814684014869897;1135.032830988386;0.321212825278792;0.03560942184088557;False
83;ANN;historical;1985-2014;CLMcom-ETH;MOHC-HadGEM2-ES;COSMO-crCLIM-v1-1;r1i1p1;v1;1.6311628717472217;1179.528114318737;0.5698478159850993;1.8572907014604305;False
84;ANN;historical;1985-2014;CLMcom-ETH;MPI-M-MPI-ESM-LR;COSMO-crCLIM-v1-1;r1i1p1;v1;1.6192553438662003;1245.8906588390414;-0.03331203531598703;0.13448459995464715;False
85;ANN;historical;1985-2014;CLMcom-ETH;MPI-M-MPI-ESM-LR;COSMO-crCLIM-v1-1;r2i1p1;v1;1.7059189126394472;1276.886832919041;0.1664440055762384;-0.4631339325622273;False
86;ANN;historical;1985-2014;CLMcom-ETH;MPI-M-MPI-ESM-LR;COSMO-crCLIM-v1-1;r3i1p1;v1;1.4854553903346073;1214.070682150059;0.1383596654275152;-1.3322370246585171;False
87;ANN;historical;1985-2014;CLMcom-ETH;NCC-NorESM1-M;COSMO-crCLIM-v1-1;r1i1p1;v1;0.7906366171004038;1244.0424565932121;0.32972235130114314;1.0897696494709084;False
88;ANN;historical;1985-2014;CLMcom;CCCma-CanESM2;CCLM4-8-17;r1i1p1;v1;1.1666240706319968;1256.936278515478;0.4280611059479611;1.575244823335357;False
89;ANN;historical;1985-2014;CLMcom;CNRM-CERFACS-CNRM-CM5;CCLM4-8-17;r1i1p1;v1;-0.0683317843866007;951.5467514529769;0.3295771375464369;0.9550341423923385;True
90;ANN;historical;1985-2014;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;0.026579925650594305;1107.710226553191;0.3264986059479611;-1.9267825531791425;True
91;ANN;historical;1985-2014;CLMcom;MIROC-MIROC5;CCLM4-8-17;r1i1p1;v1;0.30303787174722174;1072.3247360258076;0.5703125;3.3467669712567627;False
92;ANN;historical;1985-2014;CLMcom;MOHC-HadGEM2-ES;CCLM4-8-17;r1i1p1;v1;1.159334340148746;1120.4567691761322;0.5421410315985327;1.6993257418342158;False
93;ANN;historical;1985-2014;CLMcom;MPI-M-MPI-ESM-LR;CCLM4-8-17;r1i1p1;v1;0.9467123605948018;1169.0127219713975;-0.07115473977694364;0.26806317538238633;True
94;ANN;historical;1985-2014;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN53;r1i1p1;v1;1.7690868959107888;827.3753338254518;0.4368320167286015;-1.2250187256635647;False
95;ANN;historical;1985-2014;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;3.5937558085502133;993.7052323694123;1.2231354553903202;3.0173390723611604;False
96;ANN;historical;1985-2014;CNRM;MOHC-HadGEM2-ES;ALADIN63;r1i1p1;v1;3.77222351301117;1041.3992516391781;0.46901138475834614;-0.2989903114754296;False
97;ANN;historical;1985-2014;CNRM;MPI-M-MPI-ESM-LR;ALADIN63;r1i1p1;v1;4.093784851301166;1055.058969620989;0.01150092936808278;-1.069033864793877;False
