;Season;Experiment;Period;Institute;Model;Model Id;Ensemble;RCM Ver;TAS celsius;PR mm.year;TAS diff;PR diff;Previous Study
180;MAM;rcp45;2031-2060;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;-0.5865706319702326;1014.7648610811693;1.8522014405204459;-0.08090078723351347;False
181;MAM;rcp45;2031-2060;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;0.5646259293680487;1196.2744699008624;2.207626626394074;5.9804726569090425;True
182;MAM;rcp45;2031-2060;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;2.596485827137542;1260.0844281673653;2.749361059479554;2.6071108766332576;False
183;MAM;rcp45;2031-2060;GERICS;ICHEC-EC-EARTH;REMO2015;r1i1p1;v1;2.133660548327157;1150.396858903555;;;False
184;MAM;rcp45;2031-2060;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;2.2657179368030143;1235.1076945302432;1.9402590613382813;14.543115599396794;False
185;MAM;rcp45;2031-2060;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;1.6672049256505943;986.3843149135104;1.2581319702602514;-2.258434919454664;True
186;MAM;rcp45;2031-2060;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;1.9762778810409145;958.4590453336009;1.5515218401487232;-7.322867953104407;False
187;MAM;rcp45;2031-2060;RMIB-UGent;CNRM-CERFACS-CNRM-CM5;ALARO-0;r1i1p1;v1;-5.40075511152412;656.2502266998406;2.2459921003717795;8.232226801537845;False
188;MAM;rcp45;2031-2060;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;-1.2759874535315703;1034.133509291703;2.527648698884775;5.421990760154858;True
189;MAM;rcp45;2031-2060;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;0.9470318308550532;1143.7204522686598;3.158660548327134;7.679925147361497;True
190;MAM;rcp45;2031-2060;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;-0.2023640799256441;1038.5795304544795;1.2777358271375192;-2.103242128817802;True
191;MAM;rcp45;2031-2060;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;-0.41065868959105956;1160.1953026142705;2.5158282992564978;18.433521203481277;False
192;MAM;rcp45;2071-2100;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;0.9286768122676676;970.2933959164362;3.0539323884758005;6.857325199897622;True
193;MAM;rcp45;2071-2100;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN53;r1i1p1;v1;-1.2397915864965512;894.3044338403027;3.386422400492279;20.586060581775023;False
194;MAM;rcp45;2071-2100;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;0.2655727230483649;1103.4835947324352;2.7043447955390434;8.654813553808065;False
195;MAM;rcp45;2071-2100;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;1.2878485130111699;1224.158877123244;2.930849210037195;8.45081097101738;True
196;MAM;rcp45;2071-2100;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;3.3479670074349883;1290.9076474025346;3.5008422397770005;5.117007358917008;False
197;MAM;rcp45;2071-2100;GERICS;ICHEC-EC-EARTH;REMO2015;r1i1p1;v1;2.331499767657988;1119.6254277899584;;;False
198;MAM;rcp45;2071-2100;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;2.8910664498141614;1218.1101556327264;2.5656075743494284;12.966774466177629;False
199;MAM;rcp45;2071-2100;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;2.595759758364352;1055.6331185215467;2.186686802974009;4.603481214317465;True
200;MAM;rcp45;2071-2100;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;2.6854147304832736;1041.0548715564842;2.2606586895910823;0.6636436570148198;False
201;MAM;rcp45;2071-2100;RMIB-UGent;CNRM-CERFACS-CNRM-CM5;ALARO-0;r1i1p1;v1;-4.067983271375454;735.8006600816785;3.578763940520446;21.352101199511598;False
202;MAM;rcp45;2071-2100;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;-0.1912116635687653;1118.3780333089562;3.61242448884758;14.010074748095088;True
203;MAM;rcp45;2071-2100;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;1.8412000464684297;1203.1831582793516;4.052828763940511;13.278268448462839;True
204;MAM;rcp45;2071-2100;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;0.6425766728625035;1112.9616950413551;2.122676579925667;4.908038705216449;True
205;MAM;rcp45;2071-2100;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;0.3269400557621225;1136.9950982108435;3.25342704460968;16.065228646230768;False
206;MAM;rcp85;2031-2060;CLMcom-ETH;ICHEC-EC-EARTH;COSMO-crCLIM-v1-1;r12i1p1;v1;0.7159677044609793;988.3159899966423;2.6973454925650344;5.821324070638184;False
207;MAM;rcp85;2031-2060;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;0.45542518587365066;983.4253994948801;2.5806807620817835;8.303538049344704;True
208;MAM;rcp85;2031-2060;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN53;r1i1p1;v1;-2.1970770740154535;834.8951548157903;2.4291369129733766;12.575442889982714;False
