;Season;Experiment;Period;Institute;Model;Model Id;Ensemble;RCM Ver;TAS celsius;PR mm.year;TAS diff;PR diff;Previous Study
123;ANN;rcp85;2041-2070;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;4.867599907063209;1574.0090528440742;3.7853159851301257;9.61882829034202;False
124;ANN;rcp85;2041-2070;GERICS;ICHEC-EC-EARTH;REMO2015;r12i1p1;v1;4.015688894052062;1364.640493832224;3.1067321096654155;6.790596768404372;False
125;ANN;rcp85;2041-2070;GERICS;MOHC-HadGEM2-ES;REMO2015;r1i1p1;v1;5.766589219330854;1419.0662041029523;3.780901486988796;9.960397089070058;False
126;ANN;rcp85;2041-2070;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;3.736559014869897;1433.044408106671;2.4230076672862424;6.9569073438742635;False
127;ANN;rcp85;2041-2070;KNMI;CNRM-CERFACS-CNRM-CM5;RACMO22E;r1i1p1;v2;1.0441507899628277;1089.6370461854572;2.837360594795541;8.377712377716303;False
128;ANN;rcp85;2041-2070;KNMI;ICHEC-EC-EARTH;RACMO22E;r12i1p1;v1;1.6228856877323778;1203.9092845577734;3.239951208178468;6.6289180028109405;False
129;ANN;rcp85;2041-2070;KNMI;MOHC-HadGEM2-ES;RACMO22E;r1i1p1;v2;3.342071328996326;1289.277086376479;3.947752091078087;12.661963641779582;False
130;ANN;rcp85;2041-2070;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;3.935472815985179;1310.6199108922792;2.02576092007439;5.379263840091956;True
131;ANN;rcp85;2041-2070;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;4.05846886617104;1295.0363843774485;2.2574930297398055;0.31327770383868364;False
132;ANN;rcp85;2041-2070;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;2.064248373605949;1400.1750117811794;3.4755169609665018;10.114819588060696;True
133;ANN;rcp85;2041-2070;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;3.8684131040892566;1515.6380491767452;3.875726068773247;14.563499276594342;True
134;ANN;rcp85;2041-2070;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;2.7834921003717454;1469.408519319553;2.447490706319684;10.908755047436529;True
135;ANN;rcp85;2041-2070;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;1.538835966542763;1419.3314816539614;2.7170655204461127;10.83543161600642;False
