,Season,Experiment,Period,Institute,Model,Model Id,Ensemble,RCM Ver,TAS celsius,PR mm.day,TAS,PR,TAS variance,PR variance
127,annual,rcp45,2071-2100,KNMI,ICHEC-EC-EARTH,RACMO22E,r1i1p1,v1,4.111046384,2.596977009,277.2610464,3.01E-05,48.02826514,3.04E-09
128,annual,rcp45,2071-2100,KNMI,MOHC-HadGEM2-ES,RACMO22E,r1i1p1,v2,5.652951198,2.820561236,278.8029512,3.26E-05,54.81179243,3.59E-09
129,annual,rcp45,2071-2100,MPI-CSC,MPI-M-MPI-ESM-LR,REMO2009,r1i1p1,v1,4.979011871,2.919975588,278.1290119,3.38E-05,47.78359942,4.19E-09
130,annual,rcp45,2071-2100,MPI-CSC,MPI-M-MPI-ESM-LR,REMO2009,r2i1p1,v1,5.050071444,2.946190929,278.2000714,3.41E-05,46.34947928,4.18E-09
131,annual,rcp45,2071-2100,SMHI,CNRM-CERFACS-CNRM-CM5,RCA4,r1i1p1,v1,3.642042207,2.857743622,276.7920422,3.31E-05,64.32391047,3.53E-09
132,annual,rcp45,2071-2100,SMHI,ICHEC-EC-EARTH,RCA4,r12i1p1,v1,4.032567597,3.051451354,277.1825676,3.53E-05,48.95770362,3.69E-09
133,annual,rcp45,2071-2100,SMHI,IPSL-IPSL-CM5A-MR,RCA4,r1i1p1,v1,3.464750495,2.983673034,276.6147505,3.45E-05,59.58620026,3.78E-09
134,annual,rcp45,2071-2100,SMHI,MOHC-HadGEM2-ES,RCA4,r1i1p1,v1,5.878138052,3.284735259,279.0281381,3.80E-05,47.86855628,4.36E-09
135,annual,rcp45,2071-2100,SMHI,MPI-M-MPI-ESM-LR,RCA4,r1i1p1,v1a,4.434963728,3.232830995,277.5849637,3.74E-05,51.32265333,3.94E-09
136,annual,rcp45,2071-2100,SMHI,NCC-NorESM1-M,RCA4,r1i1p1,v1,3.856842163,3.182668156,277.0068422,3.68E-05,47.85958109,3.84E-09
137,annual,rcp85,2031-2060,CLMcom-ETH,ICHEC-EC-EARTH,COSMO-crCLIM-v1-1,r12i1p1,v1,4.375967246,2.632985992,277.5259672,3.05E-05,45.34032892,3.35E-09
138,annual,rcp85,2031-2060,CLMcom-ETH,MPI-M-MPI-ESM-LR,COSMO-crCLIM-v1-1,r1i1p1,v1,5.237585184,2.989875712,278.3875852,3.46E-05,43.98474253,3.97E-09
139,annual,rcp85,2031-2060,CLMcom-ETH,MPI-M-MPI-ESM-LR,COSMO-crCLIM-v1-1,r2i1p1,v1,5.058177621,2.904677763,278.2081776,3.36E-05,47.77796631,3.81E-09
140,annual,rcp85,2031-2060,CLMcom-ETH,NCC-NorESM1-M,COSMO-crCLIM-v1-1,r1i1p1,v1,4.005638602,2.791008233,277.1556386,3.23E-05,46.6534781,3.62E-09
141,annual,rcp85,2031-2060,CLMcom,CNRM-CERFACS-CNRM-CM5,CCLM4-8-17,r1i1p1,v1,3.463101781,2.155520335,276.6131018,2.49E-05,65.16819631,2.32E-09
142,annual,rcp85,2031-2060,CLMcom,ICHEC-EC-EARTH,CCLM4-8-17,r12i1p1,v1,4.172763245,2.557812347,277.3227632,2.96E-05,49.4440502,2.84E-09
143,annual,rcp85,2031-2060,CLMcom,MOHC-HadGEM2-ES,CCLM4-8-17,r1i1p1,v1,5.459584524,2.524389039,278.6095845,2.92E-05,52.7983348,3.05E-09
144,annual,rcp85,2031-2060,CLMcom,MPI-M-MPI-ESM-LR,CCLM4-8-17,r1i1p1,v1,4.767729171,2.855441533,277.9177292,3.30E-05,46.57319947,3.28E-09
145,annual,rcp85,2031-2060,DMI,CNRM-CERFACS-CNRM-CM5,HIRHAM5,r1i1p1,v2,3.901907013,2.98554097,277.051907,3.46E-05,64.14736068,4.83E-09
146,annual,rcp85,2031-2060,DMI,ICHEC-EC-EARTH,HIRHAM5,r12i1p1,v1,4.459584524,3.204721963,277.6095845,3.71E-05,48.16019661,5.16E-09
147,annual,rcp85,2031-2060,DMI,ICHEC-EC-EARTH,HIRHAM5,r1i1p1,v1,4.395504506,3.202756669,277.5455045,3.71E-05,45.74330897,5.14E-09
